"year"	"key"	"screened"	"doc"	"vacc1"	"vacc2"
2004	"03401"	783	728	693	573
2004	"03402"	518	472	406	321
2004	"03403"	1525	1338	1227	826
2004	"03404"	1357	1248	1149	877
2004	"03405"	690	626	588	467
2004	"03451"	1185	1107	1069	759
2004	"03452"	2274	2042	1795	1083
2004	"03453"	2157	2002	1893	1044
2004	"03454"	3962	3337	3235	2361
2004	"03455"	1238	1136	1012	658
2004	"03456"	1682	1512	1465	963
2004	"03457"	2029	1759	1607	1077
2004	"03458"	1557	1411	1334	947
2004	"03459"	4505	4244	4031	2311
2004	"03460"	1830	1739	1685	1202
2004	"03461"	1107	924	854	569
2004	"03462"	701	637	600	410
2005	"03401"	803	747	724	632
2005	"03402"	514	460	422	359
2005	"03403"	1472	1212	1118	833
2005	"03404"	1460	1339	1272	1106
2005	"03405"	693	624	597	523
2005	"03451"	1369	1275	1233	963
2005	"03452"	2184	1940	1809	1250
2005	"03453"	2311	2159	2101	1413
2005	"03454"	3888	3281	3192	2436
2005	"03455"	1129	1011	920	689
2005	"03456"	1560	1425	1383	1086
2005	"03457"	1925	1713	1566	1142
2005	"03458"	1475	1371	1296	1107
2005	"03459"	4443	4155	3976	2893
2005	"03460"	1728	1637	1601	1380
2005	"03461"	1081	972	918	789
2005	"03462"	748	690	658	497
2006	"03401"	747	693	667	626
2006	"03402"	505	445	418	369
2006	"03403"	1468	1212	1131	973
2006	"03404"	1386	1185	1102	995
2006	"03405"	646	572	539	477
2006	"03451"	516	466	448	365
2006	"03452"	2125	1844	1732	1448
2006	"03453"	2106	1954	1900	1493
2006	"03454"	3732	3176	3123	2675
2006	"03455"	1113	993	922	764
2006	"03456"	1628	1483	1464	1227
2006	"03457"	1857	1641	1549	1238
2006	"03458"	1530	1401	1311	1203
2006	"03459"	4221	3996	3836	3032
2006	"03460"	1699	1602	1584	1432
2006	"03461"	953	839	799	726
2006	"03462"	655	595	565	480
